time,precipitation_sum,temperature_2m_mean,et0_fao_evapotranspiration,city,water_balance,SPI,precip_lag1,temp_lag1,precip_lag2,temp_lag2,precip_lag3,temp_lag3,precip_rolling3,precip_rolling6,temp_rolling3,et0_rolling3,month,season,season_encoded,drought_label
2014-03-01,10.5,13.874193548387098,136.0,Errachidia,-125.5,0.051323638268254,0.2,11.714285714285714,18.1,8.929032258064517,2.3000000000000003,7.82258064516129,9.599999999999998,8.283333333333333,11.505837173579108,100.36999999999996,3,Spring,1,No Drought
2014-04-01,4.300000000000001,20.696666666666665,188.3,Errachidia,-184.0,-0.4637790585331344,10.5,13.874193548387098,0.2,11.714285714285714,18.1,8.929032258064517,4.999999999999997,8.55,15.42838197644649,140.5533333333333,4,Spring,1,No Drought
2014-05-01,14.3,24.296774193548387,209.46,Errachidia,-195.16,0.0625215229813277,4.300000000000001,20.696666666666665,10.5,13.874193548387098,0.2,11.714285714285714,9.699999999999998,8.283333333333333,19.62254480286738,177.91999999999996,5,Spring,1,No Drought
2014-06-01,3.3000000000000003,26.22,231.27,Errachidia,-227.97,-0.2062277101324401,14.3,24.296774193548387,4.300000000000001,20.696666666666665,10.5,13.874193548387098,7.299999999999998,8.450000000000001,23.73781362007168,209.67666666666665,6,Summer,2,No Drought
2014-07-01,0.9,31.370967741935484,263.17,Errachidia,-262.27000000000004,-0.3331370702139417,3.3000000000000003,26.22,14.3,24.296774193548387,4.300000000000001,20.696666666666665,6.166666666666664,5.583333333333333,27.295913978494625,234.6333333333333,7,Summer,2,No Drought
2014-08-01,0.6,31.225806451612904,236.15,Errachidia,-235.55,-0.8445071387776389,0.9,31.370967741935484,3.3000000000000003,26.22,14.3,24.296774193548387,1.599999999999998,5.65,29.605591397849462,243.53,8,Summer,2,No Drought
2014-09-01,34.0,25.39333333333333,172.82999999999998,Errachidia,-138.82999999999998,0.3014097301935657,0.6,31.225806451612904,0.9,31.370967741935484,3.3000000000000003,26.22,11.83333333333333,9.566666666666668,29.330035842293903,224.04999999999995,9,Autumn,3,No Drought
2014-10-01,1.0,21.345161290322583,141.28,Errachidia,-140.28,0.305142358431257,34.0,25.39333333333333,0.6,31.225806451612904,0.9,31.370967741935484,11.866666666666664,9.016666666666667,25.98810035842294,183.42,10,Autumn,3,No Drought
2014-11-01,90.4,13.303333333333336,69.72,Errachidia,20.680000000000007,3.657042515877973,1.0,21.345161290322583,34.0,25.39333333333333,0.6,31.225806451612904,41.8,21.700000000000003,20.01394265232975,127.94333333333331,11,Autumn,3,No Drought
2014-12-01,3.8,7.609677419354839,52.27,Errachidia,-48.470000000000006,2.529788788095225,90.4,13.303333333333336,1.0,21.345161290322583,34.0,25.39333333333333,31.73333333333333,21.78333333333333,14.08605734767025,87.75666666666662,12,Winter,0,No Drought
2015-01-01,6.9,7.325806451612903,65.74,Errachidia,-58.84,2.750013854119007,3.8,7.609677419354839,90.4,13.303333333333336,1.0,21.345161290322583,33.7,22.78333333333333,9.41293906810036,62.57666666666663,1,Winter,0,No Drought
2015-02-01,48.0,8.367857142857144,78.3,Errachidia,-30.3,1.1673794813379292,6.9,7.325806451612903,3.8,7.609677419354839,90.4,13.303333333333336,19.566666666666663,30.683333333333337,7.767780337941628,65.43666666666662,2,Winter,0,No Drought
2015-03-01,5.9,13.716129032258063,129.58,Errachidia,-123.68,1.2457646743294448,48.0,8.367857142857144,6.9,7.325806451612903,3.8,7.609677419354839,20.26666666666667,26.000000000000004,9.803264208909368,91.20666666666664,3,Spring,1,No Drought
2015-04-01,3.4,21.376666666666665,196.33,Errachidia,-192.93,1.115122686010252,5.9,13.716129032258063,48.0,8.367857142857144,6.9,7.325806451612903,19.1,26.40000000000001,14.486884280593957,134.73666666666665,4,Spring,1,No Drought
2015-05-01,3.4,25.106451612903225,230.72,Errachidia,-227.32,-0.5496295080000323,3.4,21.376666666666665,5.9,13.716129032258063,48.0,8.367857142857144,4.233333333333333,11.900000000000004,20.066415770609314,185.5433333333333,5,Spring,1,No Drought
2015-06-01,1.6,27.06,228.36,Errachidia,-226.76,-0.7101325222207546,3.4,25.106451612903225,3.4,21.376666666666665,5.9,13.716129032258063,2.8000000000000003,11.533333333333337,24.514372759856627,218.47,6,Summer,2,No Drought
2015-07-01,2.0,31.712903225806453,248.73,Errachidia,-246.73,-0.7623893175484318,1.6,27.06,3.4,25.106451612903225,3.4,21.376666666666665,2.333333333333333,10.716666666666669,27.95978494623656,235.9366666666666,7,Summer,2,No Drought
2015-08-01,5.6,30.48064516129032,228.0,Errachidia,-222.4,-0.680271496319225,2.0,31.712903225806453,1.6,27.06,3.4,25.106451612903225,3.0666666666666664,3.650000000000002,29.75118279569892,235.03,8,Summer,2,No Drought
2015-09-01,14.9,25.37333333333333,170.88,Errachidia,-155.98,-0.1838319407062926,5.6,30.48064516129032,2.0,31.712903225806453,1.6,27.06,7.5,5.150000000000003,29.188960573476702,215.87,9,Autumn,3,No Drought
2015-10-01,5.0,20.958064516129035,131.75,Errachidia,-126.75,-0.071853093575556,14.9,25.37333333333333,5.6,30.48064516129032,2.0,31.712903225806453,8.5,5.416666666666669,25.60401433691756,176.87666666666664,10,Autumn,3,No Drought
2015-11-01,1.1,14.043333333333331,89.44,Errachidia,-88.34,-0.2398213642716609,5.0,20.958064516129035,14.9,25.37333333333333,5.6,30.48064516129032,7.0,5.033333333333336,20.124910394265232,130.68999999999994,11,Autumn,3,No Drought
2015-12-01,0.0,10.27741935483871,63.92,Errachidia,-63.92,-0.7959829716876528,1.1,14.043333333333331,5.0,20.958064516129035,14.9,25.37333333333333,2.0333333333333337,4.766666666666669,15.092939068100357,95.03666666666663,12,Winter,0,No Drought
2016-01-01,0.2,11.293548387096775,76.76,Errachidia,-76.56,-0.9751491270968312,0.0,10.27741935483871,1.1,14.043333333333331,5.0,20.958064516129035,0.4333333333333339,4.466666666666669,11.871433691756272,76.70666666666664,1,Winter,0,No Drought
2016-02-01,5.4,11.510344827586207,100.57,Errachidia,-95.17,-0.8146461128761089,0.2,11.293548387096775,0.0,10.27741935483871,1.1,14.043333333333331,1.866666666666668,4.433333333333336,11.027104189840562,80.41666666666663,2,Winter,0,No Drought
2016-03-01,6.6,13.748387096774191,143.18,Errachidia,-136.58,-0.5682926491884882,5.4,11.510344827586207,0.2,11.293548387096775,0.0,10.27741935483871,4.066666666666667,3.0500000000000025,12.18409343715239,106.83666666666664,3,Spring,1,No Drought
2016-04-01,1.2000000000000002,20.276666666666664,186.76,Errachidia,-185.56,-0.530966366811576,6.6,13.748387096774191,5.4,11.510344827586207,0.2,11.293548387096775,4.400000000000001,2.416666666666669,15.17846619700902,143.5033333333333,4,Spring,1,No Drought
2016-05-01,17.2,22.83225806451613,216.59,Errachidia,-199.39,-0.0905162347640121,1.2000000000000002,20.276666666666664,6.6,13.748387096774191,5.4,11.510344827586207,8.333333333333334,5.100000000000002,18.95243727598566,182.17666666666665,5,Spring,1,No Drought
